Do you really want to delete this reagent?,,Möchtest du dieses Reagenz wirklich löschen?,Voulez-vous vraiment effacer ce réactif ?,Вы точно хотите удалить этот реагент?,你确定要删除这个试剂？,このパズルを●本当に●削除しますか？,¿Estas seguro que quieres borrar este reactivo?,이 반응물을 지우시겠습니까?,Bu reaktifi gerçekten silmek istiyor musunuz?,Ви справді хочете видалити цей реагент?,Tem certeza de que deseja excluir este reagente?,Opravdu chcete vymazat tento reagent?,Czy na pewno chcesz usunąć ten reagent?
Do you really want to delete this solution?,,Möchtest du diese Lösung wirklich löschen?,Voulez-vous vraiment effacer cette solution ?,Вы точно хотите удалить это решение?,你确定要删除这个解决方案吗？,このソリューションを●本当に●削除しますか？,¿Estas seguro que quieres borrar esta solución?,이 풀이를 지우시겠습니까?,Bu çözümü gerçekten silmek istiyor musunuz?,Ви справді хочете видалити це рішення?,Tem certeza de que deseja excluir esta solução?,Opravdu chcete vymazat toto řešení?,Czy na pewno chcesz usunąć to rozwiązanie?
Dragging and rotating parts,,Ziehen und Drehen von Teilen,Déplacer et faire pivoter des pièces,Перетаскивание и поворот частей,拖动和旋转部件,ドラッグして●部品を回転,Arrastrando y rotando partes,부품 움직이기나 돌리기,Parçaları sürükleme ve döndürme,Пересування і повертання частин,Arrastando e rotacionando peças,Tažení a otáčení součástek,Przeciąganie i obracanie części
Drop Instruction,,Ablegen-Anweisung,Instruction d'abandon,Команда сброса,放下指令,ドロップ命令,Instrucción Soltar,놓기 명령,Bırakma Talimatı,Команда відпускання,Instrução de Largar,Instrukce pustit,Instrukcja upuszczania
Duplicate parts or instructions,,Teile oder Anweisungen duplizieren,Dupliquer des pièces / instructions,Копирование частей или команд,复制部件或指令,部品または●命令を複製,Duplicar partes o instrucciones,부품이나 명령 복제하기,Parçaları veya talimatları çoğalt,Дублювати частини або команди,Duplica partes ou instruções,Duplikace součástek nebo instrukcí,Duplikuj części lub instrukcje
Earth,,Erde,Terre,Земля,土,土,Tierra,흙,Toprak,Земля,Terra,Země,Ziemia
Elemental Air,,Elementar-Luft,Air élémentaire,Элементарный воздух,风元素,エレメンタル（空気）,Aire Elemental,공기 원소,Saf Hava,Елементарне повітря,Ar Elemental,Prvotní vzduch,Pierwiastek powietrza
Elemental Copper,,Elementar-Kupfer,Cuivre élémentaire,Элементарная медь,铜元素,エレメンタル（銅）,Cobre Elemental,구리 원소,Saf Bakır,Елементарна мідь,Cobre Elemental,Prvotní měď,Pierwiastek miedzi
Elemental Earth,,Elementar-Erde,Terre élémentaire,Элементарная земля,土元素,エレメンタル（土）,Tierra Elemental,흙 원소,Saf Toprak,Елементарна земля,Terra Elemental,Prvotní země,Pierwiastek ziemi
Elemental Fire,,Elementar-Feuer,Feu élémentaire,Элементарный огонь,火元素,エレメンタル（火）,Fuego Elemental,불 원소,Saf Ateş,Елементарний вогонь,Fogo Elemental,Prvotní oheň,Pierwiastek ognia
Elemental Gold,,Elementar-Gold,Or élémentaire,Элементарное золото,金元素,エレメンタル（金）,Oro Elemental,금 원소,Saf Altın,Елементарне золото,Ouro Elemental,Prvotní zlato,Pierwiastek złota
Elemental Iron,,Elementar-Eisen,Fer élémentaire,Элементарное железо,铁元素,エレメンタル（鉄）,Hierro Elemental,철 원소,Saf Demir,Елементарне залізо,Ferro Elemental,Prvotní železo,Pierwiastek żelaza
Elemental Lead,,Elementar-Blei,Plomb élémentaire,Элементарный свинец,铅元素,エレメンタル（鉛）,Plomo Elemental,납 원소,Saf Kurşun,Елементарний свинець,Chumbo Elemental,Prvotní olovo,Pierwiastek ołowiu
Elemental Mors,,Elementar-Mors,Mors élémentaire,Элементарная энергия смерти,殁元素,エレメンタル（死）,Mors Elemental,죽음 원소,Saf Ölüm,Елементарний мортіс,Mors Elemental,Prvotní smrt,Pierwiastek Śmierci
Elemental Quicksilver,,Elementar-Quecksilber,Mercure élémentaire,Элементарная ртуть,水银元素,エレメンタル（水銀）,Mercurio Elemental,수은 원소,Saf Cıva,Елементарна ртуть,Mercúrio Elemental,Prvotní rtuť,Pierwiastek rtęci
Elemental Quintessence,,Elementar-Quintessenz,Quintessence élémentaire,Элементарная квинтэссенция,以太元素,エレメンタル（真髄）,Quintaesencia Elemental,퀸터센스 원소,Saf Öz,Елементарна квінтесенція,Quintessência Elemental,Prvotní kvintesence,Pierwiastek Kwintesencji
Elemental Salt,,Elementar-Salz,Sel élémentaire,Элементарная соль,盐元素,エレメンタル（塩）,Sal Elemental,소금 원소,Saf Tuz,Елементарна сіль,Sal Elemental,Prvotní sůl,Pierwiastek soli
Elemental Silver,,Elementar-Silber,Argent élémentaire,Элементарное серебро,银元素,エレメンタル（銀）,Plata Elemental,은 원소,Saf Gümüş,Елементарне срібло,Prata Elemental,Prvotní stříbro,Pierwiastek srebra
Elemental Tin,,Elementar-Zinn,Étain élémentaire,Элементарное олово,锡元素,エレメンタル（錫）,Estaño Elemental,주석 원소,Saf Kalay,Елементарне олово,Estanho Elemental,Prvotní cín,Pierwiastek cyny
Elemental Vitae,,Elementar-Vitae,Vitae élémentaire,Элементарная энергия жизни,生元素,エレメンタル（生命）,Vitae Elemental,생명 원소,Saf Can,Елементарний вітіс,Vitae Elemental,Prvotní život,Pierwiastek Życia
Elemental Water,,Elementar-Wasser,Eau élémentaire,Элементарная вода,水元素,エレメンタル（水）,Agua Elemental,물 원소,Saf Su,Елементарна вода,Água Elemental,Prvotní voda,Pierwiastek wody
Enchanted Forest,,Verzauberter Wald,Forêt enchantée,Заколдованный лес,木元素,魔法の森,Bosque Encantado,환상적인 숲,Büyülü Orman,Зачарований ліс,Floresta Encantada,Prvotní les,Zaklęty las
Error,,Fehler,Erreur,Ошибка,错误,エラー,Error,오류,Hata,Помилка,Erro,Chyba,Błąd
Escape,KEY NAME,Esc,Échap,Escape,ESC键,ESC,Escape,ESC,ESC,Escape,Esc,ESC,Escape
"Everything around us is made from combinations of a small number of underlying elements.\n\nBy Studying these elements and their transmutations, the Alchemist learns to understand the workings of the universe itself.",,"Alles um uns wurde aus einer kleinen Anzahl zugrundeliegender Elemente gefertigt.\n\nDurch das Studium dieser Elemente und ihrer Transmutationen lernt der Alchemist, die Funktionsweise des Universums selbst zu verstehen.","Tout autour de nous n'est que combinaison d'un faible nombre d'éléments sous-jacents.\n\nEn étudiant ces éléments et leurs transmutations, l'alchimiste s'instruit sur les rouages même de l'univers.","Все в мире состоит из соединений небольшого количества основных элементов.\n\nИзучая эти элементы и их трансмутации, алхимик постигает устройство вселенной.",我们周围的所有物质都是由一些基础元素组成的。\n\n通过研究这些元素及其嬗变过程，炼金术士得以了解宇宙运行的奥秘。,私たちの●周りの●すべての●ものは、●少ない●基本元素で●構成されている。\n\nこれらの●要素と●その変成を●研究することによって、●錬金術師は●宇宙そのものの●働きについて●学ぶ。,"Todo lo que nos rodea está hecho de combinaciones de un pequeño número de elementos subyacentes.\n\nAl estudiar estos elementos y sus transmutaciones, el Alquimista aprende a comprender el funcionamiento del universo mismo.",우리 주변의 모든 것들은 적은 숫자의 근본 원소들의 조합으로 되어 있다.\n\n연금술사들은 이 원소들과 변성에 대해 공부함으로써 이 우주가 작동하는 방식을 배우고 이해하게 될 것이다.,"Çevremizdeki her şey az sayıda altında yatan elementin kombinasyonlarından yapılmıştır.\n\nBu elementleri ve dönüşümlerini inceleyerek, Simyacı evrenin işleyişini anlamayı öğrenir.","Усе навколо нас зроблене з поєднань невеликої кількості основних елементів.\n\nДосліджуючи ці елементи та їхні трансмутації, Алхімік учиться пізнавати влаштування Всесвіту.","Tudo ao nosso redor é feito de combinações de um pequeno número de elementos.\n\nEstudando esses elementos e suas transmutações, o Alquimista aprende a entender o funcionamento do próprio universo.",Všechno kolem nás je sestaveno z kombinací malého počtu prvotních elementů.\n\nStudiem těchto elementů a jejich transmutací se alchymista učí porozumět samotné podstatě vesmíru.,Wszystko wokół nas jest stworzone z połączeń garstki podstawowych piewiastków.\n\nBadanie tych pierwiastków i ich transmutacji pozwala Alchemikom uczyć się o prawidłach samego wszechświata.
Execute a single instruction.,,Führe eine einzelne Anweisung aus.,Exécute une seule instruction.,Выполните одну команду.,执行一个单指令。,一つの命令を●実行します。,Ejecutar una sola instrucción.,하나의 명령을 실행합니다.,Tek bir komut yürüt.,Виконати одну команду.,Executa uma única instrução.,Provede jednotlivou instrukci.,Wykonuje pojedynczą instrukcję
Exile and Thievery,,Exil und Diebstahl,Exil et brigandage,Беглецы и криминал,流放和盗窃,追放と略奪,Exilio y Robo,도망과 도둑질,Sürgün ve Hırsızlık,Втеча і пограбування,Exílio e Ladroagem,Vyhnanství a krádež,Wygnanie i złodziejstwo
Exit Game,,Spiel verlassen,Quitter le jeu,Выйти из игры,退出游戏,ゲームを●終了する,Salir del Juego,게임 종료,Oyundan Çık,Вийти з гри,Sair do Jogo,Konec hry,Wyjdź z gry
Explosive Compound,,Explosiver Stoff,Composant explosif,Взрывчатое вещество,爆炸化合物,爆発性●化合物,Compuesto Explosivo,폭발물,Patlayıcı Bileşik,Вибухова сполука,Composto Explosivo,Výbušná směs,Wybuchowa substancja
Explosive Phial,,Explosive Phiole,Fiole explosive,Склянка со взрывчаткой,爆炸小药瓶,爆発性の●バイアル瓶,Frasco Explosivo,폭발성 유리병,Patlayıcı Vial,Вибуховий флакон,Frasco Explosivo,Výbušná fiola,Wybuchowa fiolka
Extend Instruction,,Ausfahren-Anweisung,Instruction d'extension,Команда выдвижения,扩展指令,拡張命令,Instrucción Extender,늘리기 명령,Uzatma Talimatı,Команда висування,Instrução de Estensão,Rozšířit instrukci,Instrukcja wysuwania
Extends the gripper at the end of a piston arm.,,Fährt den Greifer am Ende eines Hydraulikarms aus.,Étend la pince au bout d'un bras à piston.,Выдвигает захват на конце выдвижного манипулятора.,把活塞机械臂末端的夹钳延伸出去。,ピストンアームの●先端にある●グリッパーを●伸ばします。,Extiende la pinza al final de un brazo de pistón.,피스톤 팔의 길이를 늘립니다.,Piston kolunun ucundaki kıskacı uzatır.,Висуває захват на кінці поршня.,Estende a garra na ponta de um braço.,Prodlužuje zachycovač na konci pístového manipulátoru.,Wysuwa chwytak na końcu ramienia.
Eyedrops of Revelation,,Augentropfen der Erkenntnis,Collyre de révélation,Глазные капли откровения,启示眼药水,啓示の点眼薬,Gotas de la Revelación,계시의 안약,Vahiy Damlaları,Очні краплі провидіння,Colírio da Revelação,Oční kapky objevení,Łzy rewelacji
"Eyedrops of Revelation, Left",,"Augentropfen der Erkenntnis, links","Collyre de révélation, gauche","Глазные капли откровения, левая часть",启示眼药水，左,啓示の点眼薬、左,"Gotas para los Ojos de la Revelación, Izquierda","계시의 안약, 왼쪽","Vahiy Damlaları, Sol","Очні краплі провидіння, ліві","Colírio da Revelação, Esquerdo","Oční kapky objevení, levá část",Prawa łza rewelacji
"Eyedrops of Revelation, Right",,"Augentropfen der Erkenntnis, rechts","Collyre de révélation, droite","Глазные капли откровения, правая часть",启示眼药水，右,啓示の点眼薬、右,"Gotas para los Ojos de la Revelación, Derecha","계시의 안약, 오른쪽","Vahiy Damlaları, Sağ","Очні краплі провидіння, праві","Colírio da Revelação, Direito","Oční kapky objevení, pravá část",Lewa łza rewelacji
Face Powder,,Gesichtspuder,Poudre,Пудра для лица,散粉,フェイス●パウダー,Polvo para el Rostro,얼굴 파우더,Yüz Pudrası,Пудра для лиця,Pó Facial,Pudr,Puder
Fast-forward to instruction,,Bis zur Anweisung vorspulen,Avance rapide vers instruction,Ускорить до следующей команды,快进到指令,命令まで●早送り,Avanzar hasta la instrucción,해당 명령까지 빨리 감기,Talimata hızlı ileri sar,Прискорити до виконання команди,Acelerar até a instrução,Rychle k další instrukci,Przewiń do instrukcji
Fire,,Feuer,Feu,Огонь,火,火,Fuego,불,Ateş,Вогонь,Fogo,Oheň,Ogień
Fixed-Length Arm,,Arm mit fester Länge,Bras à longueur fixe,Манипулятор постоянной длины,已固定长度的机械臂,固定された●長さの●アーム,Brazo de largo fijo,고정 길이 팔,Sabit Uzunlukta Kol,Маніпулятор сталої довжини,Braço de Comprimento Fixo,Manipulátor s pevnou délkou,Ramię o stałej długości
Fontenelle's Alchemical Observations,,Fontenelles alchemistische Beobachtungen,Observations alchimiques de Fontenelle,Алхимические заметки профессора Фонтенелле,方登纳的炼金术观测台,フォンテーヌの●錬金術考察,Observatorio Alquímico de Fontenelle,퐁트넬의 연금술 관찰기,Fontenelle'nin Simya Gözlemleri,Алхімічні спостереження доктора Фонтенеля,Observações Alquímicas de Fontenelle,Fontenellova alchymistická pozorování,Alchemiczne Obserwacje Fontenelle'a
Foreword,,Vorwort,Avant-propos,Предисловие,前言,序文,Prefacio,서문,Önsöz,Передмова,Introdução,Předmluva,Przedmowa
Fragrant Powders,,Duftpulver,Poudres odoriférantes,Благовонные порошки,香粉,芳香パウダー,Polvos Fragantes,향기로운 가루,Kokulu Tozlar,Запашні пудри,Pós Perfumados,Voňavý pudr,Proszki zapachowe
Freshwater Brook,,Süßwasserbach,Ruisseau d'eau fraîche,Пресный источник,淡水河,淡水の小川,Arroyo de Agua Dulce,맑은 개울,Tatlısu Deresi,Чистий струмок,Riacho de Água Doce,Sladkovodní potok,Orzeźwiający potok
From now on you will place *products* and *reagents* on your own. They are at the top of your toolbox.,,Ab sofort wirst du *Erzeugnisse* und *Reagenzien* selbst platzieren. Du findest sie oben in deinem Werkzeugkasten.,"À partir de maintenant, vous placez vous-même les *produits* et *réactifs*. Ils se trouvent en haut de votre boîte à outils.",Отныне вы можете самостоятельно размещать *продукты* и *реагенты*. Они находятся вверху на вашей панели инструментов.,从现在开始，你得自己放置*产品*和*试剂*。它们位于你工具箱的顶部。,*生成物*と●*試薬*は●今後は●自分で●配置しましょう。これらは●あなたの●ツールボックスの●一番上に●あります。,"A partir de ahora, colocarás *productos* y *reactivos* por tu cuenta. Están en la parte superior de tu caja de herramientas.",이제부터 *생성물*과 *반응물*을 직접 배치해야 합니다. 이것들은 도구 상자 맨 위에 위치해 있습니다.,Şu andan itibaren *ürünleri* ve *reaktifleri* kendi başınıza yerleştireceksiniz. Bunlar araç kutunuzun üzerinde yer alır.,Відтепер ви будете розміщувати *продукти* та *реагенти* самостійно. Вони знаходяться зверху на панелі інструментів.,"A partir de agora, você posicionará *produtos* e *reagentes* por conta própria. Eles estão no topo de sua caixa de ferramentas.",Dále již umísťujte *produkty* a *reagenty* sami. Jsou na vrcholu vaší sady nástrojů.,Od teraz będziesz umieszczał *produkty* i *reagenty* samodzielnie. Znajdują się one na górze twojego paska narzędzi.
Fullscreen,,Vollbild,Plein écran,На весь экран,全屏,全画面表示,Pantalla Completa,전체화면,Tam ekran,На весь екран,Tela Cheia,Celá obrazovka,Pełny ekran
Glyph of Animismus,,Glyphe des Animismus,Glyphe Animismus,Глиф анимизма,泛灵之符,アニミズマスの●象形文字,Glifo de Animismo,생명의 문양,Animizm Glifi,Гліф анімізму,Glifo de Animismus,Glyf animismu,Glif animizmu
Glyph of Bonding,,Glyphe der Verbindung,Glyphe de liens,Глиф связи,键合符文,結合の●象形文字,Glifo de Unión,결합의 문양,Bağ Glifi,Гліф зв'язку,Glifo da Ligação,Glyf spojení,Glif wiązania
Glyph of Calcification,,Glyphe der Kalzifizierung,Glyphe de calcification,Глиф отверждения,钙化符文,石灰化の●象形文字,Glifo de Calcificación,염화의 문양,Kireçleme Glifi,Гліф отвердіння,Glifo da Calcificação,Glyf kalcifikace,Glif zwapniania
Glyph of Dispersion,,Glyphe der Verteilung,Glyphe de dispersion,Глиф рассеяния,驱散符文,分散の●象形文字,Glifo de Dispersión,분산의 문양,Çözelti Glifi,Гліф дисперсії,Glifo da Dispersão,Glyf rozptýlení,Glif rozproszenia
Glyph of Disposal,,Glyphe der Entsorgung,Glyphe de traitement,Глиф утилизации,清除符文,処分の●象形文字,Glifo de Eliminación,처분의 문양,Bertaraf Glifi,Гліф знищення,Glifo do Descarte,Glyf uspořádání,Glif utylizacji
Glyph of Duplication,,Glyphe der Verdopplung,Glyphe de duplication,Глиф копирования,复制符文,複製の●象形文字,Glifo de Duplicación,복제의 문양,Çoğaltma Glifi,Гліф відтворення,Glifo da Duplicação,Glyf duplikace,Glif duplikacji
Glyph of Multi-bonding,,Glyphe der Multi-Bindung,Glyphe de liens multiples,Глиф множеств. связей,多重键合符文,多重結合の●象形文字,Glifo de Unión Múltiple,다중 결합의 문양,Çoklu Bağ Glifi,Гліф множинного зв'язку,Glifo de Ligação Múltipla,Glyf multispojení,Glif wielokrotnego wiązania
Glyph of Projection,,Glyphe der Projektion,Glyphe de projection,Глиф улучшения,投射符文,投影の●象形文字,Glifo de Proyección,투영의 문양,İzdüşüm Glifi,Гліф проєкції,Glifo da Projeção,Glyf přeměny,Glif projekcji
Glyph of Purification,,Glyphe der Reinigung,Glyphe de purification,Глиф очищения,提纯符文,精製の●象形文字,Glifo de Purificación,정제의 문양,Arıtma Glifi,Гліф очищення,Glifo da Purificação,Glyf očštění,Glif oczyszczania
Glyph of Triplex-bonding,,Glyphe der Triplex-Bindung,Glyphe de liens triplex,Глиф тройной связи,三重键合符文,三重結合の●象形文字,Glifo de Unión Triple,삼중 결합의 문양,Üç Katlı Bağ Glifi,Гліф триєдності,Glifo de Ligação Tríplice,Glyf trojspojení,Glif potrójnego wiązania
Glyph of Unbonding,,Glyphe der Nullbindung,Glyphe de rupture,Глиф разрушения связей,消除键合符文,非結合の●象形文字,Glifo de Separación,분리의 문양,Bağ Çözme Glifi,Гліф розрізу,Glifo da Quebra de Ligação,Glyf rozpojení,Glif rozwiązywania
Glyph of Unification,,Glyphe der Vereinigung,Glyphe d'unification,Глиф объединения,融合符文,結合の●象形文字,Glifo de Unificación,융합의 문양,Birleştirme Glifi,Гліф уніфікації,Glifo da Unificação,Glyf sjednocení,Glif unifikacji
Glyphs,,Glyphen,Glyphes,Глифы,符文,象形文字,Glifos,문양,Glifler,Гліфи,Glifos,Glyfy,Glify
Glyphs of Quintessence,,Glyphen der Quintessenz,Glyphe de quintessence,Глифы квинтэссенции,以太符文,真髄の●象形文字,Glifos de Quintaesencia,퀸터센스의 문양,Öz Glifi,Гліфи квінтесенції,Glifos da Quintessência,Glyfy kvintesence,Glify kwintesencji
Gold,,Gold,Or,Золото,金,金,Oro,금,Altın,Золото,Ouro,Zlato,Złoto
Golden Thread,,Goldenes Garn,Fil d'or,Золотая нить,金线,金のより糸,Hilo Dorado,황금 실,Altın İplik,Золота нитка,Fio Dourado,Zlatá nit,Złota nić
Grab Instruction,,Greifen-Anweisung,Instruction de prise,Команда захвата,夹取指令,グラブ命令,Instrucción Recoger,잡기 명령,Tutma Talimatı,Команда взяття,Instrução de Agarrar,Zachycovací instrukce,Instrukcja podnoszenia
Green Flare Salt,,Grünes Leuchtsignalsalz,Sel de lueur verte,Соль для зеленого сигнала,绿色火光盐,グリーンフレア塩,Sal de Bengala Verde,녹색 불꽃 염,Yeşil Fişek Tuzu,Зелена сигнальна сіль,Sais Verdes para Sinalizador,Zeleně zářící sůl,Sól z zielonym błyskiem
Gripper,,Greifer,Pince,Захват,夹钳,グリッパー,Pinza,집게,Kıskaç,Захват,Garra,Zachycovač,Chwytak
Hair Product,,Haarpflegeprodukt,Produit capillaire,Средство для волос,发用产品,ヘアケア製品,Producto para el Cabello,모발 용품,Saç Ürünü,Крем для волосся,Loção Capilar,Šampon na vlasy,Szampon na włosy
Hangover Cure,,Katerheilmittel,Remède contre la gueule de bois,Средство от похмелья,宿醉疗药,二日酔い薬,Cura para la Resaca,숙취 해소제,Akşamdan Kalma İlacı,Ліки від похмілля,Cura para Ressaca,Lék na kocovinu,Lek na kaca
Hastily Written Note,,Hastig verfasste Notiz,Note écrite à la va-vite,Наспех накарябанная записка,匆忙书写的笔记,走り書きの●メモ,Nota Escrita Apresuradamente,급하게 쓰인 쪽지,Hızlı Yazılmış Not,Поспіхом написана записка,Nota Escrita Rapidamente,Spěšně napsaná poznámka,Notatka napisana w pośpiechu
Health Tonic,,Gesundheitstonikum,Tonique vital,Зелье здоровья,健康补药,健康●ドリンク剤,Tónico para la Salud,자양강장제,Sağlık Toniği,Напій здоров'я,Tônico Medicinal,Ozdravný nápoj,Tonik na zdrowie
Henley Servin,,Henley Servin,Henley Servin,Хенли Сервин,亨利·塞尔温,ヘンリー・サーヴィン,Henley Servin,헨리 세르빈,Henley Servin,Генлі Сервін,Henley Servin,Henley Servin,Henley Servin
Hermit Mode,,Einsiedler-Modus,Mode ermite,Режим затворника,隐士模式,隠者モード,Modo Ermitaño,은둔 모드,Keşiş Modu,Самітний режим,Modo Eremita,Poustevnický mód,Tryb pustelnika
Hides leaderboards and histograms,,Blendet Bestenlisten und Histogramme aus,Masque les classements et histogrammes,Позволяет скрыть графики и таблицы,隐藏排行榜和直方图,ランキングと●ヒストグラムを●非表示,Oculta la tabla de lideres e histogramas,리더보드와 히스토그램을 숨깁니다,Puan tablolarını ve histogramları gizler,Приховує таблиці лідерів та гістограми,Esconde placares e histogramas,Skryje grafy a tabulky,Ukrywa tablice wyników i histogramy
Histograms and leaderboards are hidden when *hermit mode* is enabled.,,Im *Einsiedler-Modus* werden Histogramme und Bestenlisten ausgeblendet.,Les histogrammes et classements sont masqués lorsque le *Mode ermite* est activé.,Графики и таблицы не отображаются в *режиме затворника*.,当启动*隐士模式*时，排行榜和直方图会隐藏。,*隠者モード*を●有効化すると●ランキングと●ヒストグラムが●非表示になります。,Los histogramas y tablas de lideres están ocultos cuando el *modo ermitaño* esta activado.,*은둔 모드*에서는 히스토그램과 리더보드가 숨겨집니다.,*Keşiş modu* etkinleştirildiğinde histogramlar ve puan tabloları gizlenir.,У *самітному режимі* приховуються гістограми та таблиці лідерів.,Histogramas e placares são escondidos enquanto o *Modo Eremita* estiver ativado.,"Když je povolen *režim poustevník*, jsou skrýté grafy a tabulky.","Histogramy i statystyki są ukryte, gdy *tryb pustelnika* jest włączony."
Histograms and leaderboards are not available for custom puzzles.,,Histogramme und Bestenlisten sind für individuelle Rätsel nicht verfügbar.,Les histogrammes et classements ne sont pas disponibles pour les énigmes personnalisées.,Графики и таблицы рейтингов недоступны для пользовательских головоломок.,自定义谜题不包含直方图和排行榜。,カスタムパズルでは●ヒストグラムや●ランキングは●使用できません。,Los histogramas y tablas de lideres están deshabilitados para los rompecabezas personalizados.,커스텀 퍼즐에서는 히스토그램과 리더보드가 제공되지 않습니다.,Özel bulmacalar için histogramlar ve puan tabloları mevcut değildir.,Гістограми та таблиці лідерів недоступні для власних головоломок.,Histogramas e placares não estão disponíveis para quebra-cabeças personalizados.,Pro uživatelské puzzle nejsou grafy a tabulky dostupné.,Histogramy i statystyki nie są dostępne dla niestandardowych zagadek.
Histograms and leaderboards are not available for tutorial puzzles.,,Histogramme und Bestenlisten sind für Tutorial-Rätsel nicht verfügbar.,Les histogrammes et classements ne sont pas disponibles pour les énigmes du didacticiel.,Графики и таблицы рейтингов недоступны для учебных головоломок.,教程谜题不包含直方图和排行榜。,チュートリアル●パズルでは●ヒストグラムや●ランキングは●使用できません。,Los histogramas y tablas de lideres están deshabilitadas para los rompecabezas tutoriales.,튜토리얼 퍼즐에서는 히스토그램과 리더보드가 제공되지 않습니다.,Histogramlar ve puan tabloları öğretici bulmacalar için kullanılamaz.,Гістограми та таблиці лідерів недоступні для навчальних головоломок.,Histogramas e placares não estão disponíveis para quebra-cabeças do tutorial.,Pro tutorialové puzzle nejsou grafy a tabulky dostupné.,Histogramy i statystyki nie są dostępne dla zagadek samouczka.
Holding this button will show the area used by your solution and its products and reagents.,,"Wenn du diese Schaltfläche gedrückt hältst, siehst du den Bereich deiner Lösung sowie die dazugehörigen Erzeugnisse und Reagenzien.","Maintenir ce bouton affichera la zone utilisée par la solution, ses produits et réactifs.","Если удерживать эту кнопку, на экране отобразится область, занимаемая вашим решением и связанными с ним продуктами и реагентами.",按住此按钮，将显示你的解决方案及其产品和试剂所用的区域。,このボタンを●押し続けることで●ソリューションや●その生成物や●試薬が●利用する●エリアを●表示する●ことが●できます。,"Al mantener presionado este botón, se mostrará el área utilizada por tu solución y sus productos y reactivos","이 버튼을 누르고 있으면 해법과 반응물, 생성물이 차지하는 영역을 보여줍니다.","Bu düğmenin tutulması, çözümünüzün, ürünlerin ve reaktiflerin kullandığı alanı gösterir.","Утримуйте цю клавішу, щоб побачити, яку область займає ваше рішення, а також його продукти й реагенти.",Segurar este botão irá mostrar a área usada por sua solução e seus produtos e reagentes.,Podržení tohoto tlačítka vám ukáže oblast využitou vaším řešením a jeho produkty a reagenty.,Przytrzymanie tego przycisku pokaże obszar używany przez twoje rozwiązanie oraz produkty i reagenty.
Holding this button will show the atoms present when you last stopped the transmutation engine.,,"Wenn du diese Schaltfläche gedrückt hältst, siehst du die Atome, die vorhanden waren, als du die Transmutationsmaschine das letzte Mal angehalten hast.",Maintenir ce bouton affichera les atomes présents lors de la dernière utilisation du moteur de transmutation.,"Если удерживать эту кнопку, на экране отобразятся атомы, находившиеся на столе на момент последней остановки механизма трансмутаций.",按住此按钮将显示你上次停止嬗变引擎时出现的原子。,このボタンを●押し続ける●ことで●最後に●変成機関を●停止した●時に●存在していた●原子を●表示することが●できます。,"Al mantener presionado este botón, se mostrarán los átomos presentes la última vez que se detuvo el motor de transmutación.",이 버튼을 누르고 있으면 변성 기관이 마지막으로 멈췄을 때 원자의 위치를 보여줍니다.,"Bu düğmeyi basılı tutmanız, dönüşüm motorunu en son durdurduğunuzdaki mevcut olan atomları gösterecektir.","Утримуйте цю клавішу, щоб побачити атоми, присутні на столі у момент зупинки трансмутаційного апарата.",Segurar este botão irá mostrar os átomos presentes quando você parou o mecanismo de transmutação.,"Podržení tohoto tlačítka vám ukáže atomy, přítomné při posledním zastavení transmutačního stroje.",Przytrzymanie tego przycisku pokaże atomy obecne w momencie przerwania działania ostatniego silnika transmutacyjnego.
House Colvan,,Haus Colvan,Maison Colvan,Дом Колвен,科尔文家族,コルヴァン家,Casa Colvan,콜반 가문,Colvan Sarayı,Дім Колван,Casa Colvan,Rod Colvan,Ród Colvan
House Soria,,Haus Soria,Maison Soria,Дом Сориа,索里亚家族,ソリア家,Casa Soria,소리아 가문,Soria Sarayı,Дім Сорія,Casa Soria,Rod Soria,Ród Soria
House Van Tassen,,Haus Van Tassen,Maison Van Tassen,Дом Ван Тассен,范塔森家族,ヴァン・タッセン家,Casa Van Tassen,반 타쎈 가문,Van Tassen Sarayı,Дім ван Тассен,Casa Van Tassen,Rod Van Tassen,Ród Van Tassen
"If used, the repetition placeholder must be to the right of the center atom.",,Bei Verwendung muss sich der Wiederholungsplatzhalter rechts vom mittleren Atom befinden.,"En cas d'utilisation, le substituant de répétition doit être placé à droite de l'atome central.",В случае использования шаблон для повторения должен находиться правее центрального атома.,如果使用，重复占位符必须在中心原子的右边。,繰り返しの●プレースホルダーを●使用する●には、中央の原子より●右側に●置く必要が●あります。,"De ser usado, el marcador de repetición debe estar a la derecha del átomo central.",반복 표시는 중앙 원자의 오른쪽에 있어야만 합니다.,"Kullanılırsa, tekrar yer tutucusu orta atomun sağında olmalıdır.","Якщо використовується шаблон повтору, він повинен бути по праву сторону від центрального атома.","Se usado, o comando de repetição deve estar à direita do átomo central.",Při použití musí být šablona opakování vpravo od centrálního atomu.,"Jeśli użyty, znak repetycji musi być po prawej od środkowego atomu."
Imperial University,,Kaiserliche Universität,Université impériale,Имперский университет,帝国大学,帝国大学,Universidad Imperial,제국 대학,İmparatorluk Üniversitesi,Імперський університет,Universidade Imperial,Císařská univerzita,Uniwersytet Imperialny
